,tmp_var,amp_var,audio,subject,r_s,r_fs
59,0.08932006239959078,0.0017946164944526457,5.0,4.0,0.02044547979816325,0.021880554738788905
60,0.08932006239959078,0.0017946164944526457,5.0,5.0,0.014170261486223973,0.01565921319033983
61,0.08932006239959078,0.0017946164944526457,5.0,6.0,0.03781838199100241,0.040397913467769546
62,0.08932006239959078,0.0017946164944526457,5.0,7.0,0.03539191682506255,0.04267884406047847
63,0.08932006239959078,0.0017946164944526457,5.0,8.0,0.04135194959643495,0.04303379544769268
64,0.08932006239959078,0.0017946164944526457,5.0,9.0,0.0515411404880437,0.05597313684629209
65,0.08932006239959078,0.0017946164944526457,5.0,10.0,0.04887276894839868,0.05016360093227406
66,0.08932006239959078,0.0017946164944526457,5.0,11.0,0.03704709121020077,0.03983617369106083
67,0.08932006239959078,0.0017946164944526457,5.0,12.0,0.02626492913153722,0.025714638526519753
68,0.08932006239959078,0.0017946164944526457,5.0,13.0,0.04289987735527481,0.04607867123325186
69,0.08932006239959078,0.0017946164944526457,5.0,14.0,0.051343966472882085,0.06233494843798406
70,0.0923306136077651,0.001624345523823147,6.0,1.0,0.027619572045605414,0.028189432107757515
71,0.0923306136077651,0.001624345523823147,6.0,2.0,0.04477340981400322,0.04704082099056101
72,0.0923306136077651,0.001624345523823147,6.0,3.0,0.03946714553893616,0.05021752335860417
73,0.0923306136077651,0.001624345523823147,6.0,4.0,0.008985996107660198,0.009973391990884074
74,0.0923306136077651,0.001624345523823147,6.0,5.0,0.0009715497455966045,0.0008372361069968552
75,0.0923306136077651,0.001624345523823147,6.0,6.0,0.02842608016919318,0.032008344096780224
76,0.0923306136077651,0.001624345523823147,6.0,7.0,0.05030884284851269,0.05413509808991932
77,0.0923306136077651,0.001624345523823147,6.0,8.0,0.05099020371401594,0.051758889615691715
78,0.0923306136077651,0.001624345523823147,6.0,9.0,0.028580381274454114,0.03027824188536073
79,0.0923306136077651,0.001624345523823147,6.0,10.0,0.06619690896604523,0.06256284934158095
80,0.0923306136077651,0.001624345523823147,6.0,11.0,0.07666841232805884,0.07669330017235883
81,0.0923306136077651,0.001624345523823147,6.0,12.0,0.03157126978109229,0.030640667303192242
82,0.0923306136077651,0.001624345523823147,6.0,13.0,0.015084771808350836,0.023664955443645427
83,0.0923306136077651,0.001624345523823147,6.0,14.0,0.06258136435377028,0.06703044501626852
84,0.09015350576360066,0.0014288240740757093,7.0,1.0,0.04296415365205186,0.04547838795290137
85,0.09015350576360066,0.0014288240740757093,7.0,2.0,0.02971425912484386,0.03967835745117895
86,0.09015350576360066,0.0014288240740757093,7.0,3.0,0.03912609871067099,0.04371004669442929
87,0.09015350576360066,0.0014288240740757093,7.0,4.0,0.01101941041654383,0.011604571148744617
88,0.09015350576360066,0.0014288240740757093,7.0,5.0,0.02574162930591843,0.026911183362096
